threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.0,0.7444444444444445,1.0,0.8535031847133758,0.0,1.0,335,115,0,0
0.01,0.7701149425287356,1.0,0.8701298701298701,0.13043478260869557,1.0,335,100,15,0
0.02,0.7808857808857809,1.0,0.8769633507853403,0.18260869565217397,1.0,335,94,21,0
0.03,0.7863849765258216,1.0,0.8804204993429697,0.20869565217391295,1.0,335,91,24,0
0.04,0.7919621749408984,1.0,0.8839050131926122,0.23478260869565215,1.0,335,88,27,0
0.05,0.7957244655581948,1.0,0.8862433862433863,0.25217391304347814,0.6260869565217392,335,86,29,0
0.06,0.8014354066985646,1.0,0.8897742363877822,0.27826086956521734,0.6260869565217392,335,83,32,0
0.07,0.8111380145278451,1.0,0.8957219251336899,0.3217391304347825,0.6260869565217392,335,78,37,0
0.08,0.8170731707317073,1.0,0.8993288590604027,0.34782608695652173,0.6260869565217392,335,75,40,0
0.09,0.8230958230958231,1.0,0.9029649595687331,0.37391304347826093,0.6260869565217392,335,72,43,0
0.1,0.8267326732673267,0.9970149253731343,0.9039242219215156,0.3883192731992213,0.6260940726417893,334,70,45,1
0.11,0.8287841191066998,0.9970149253731343,0.9051490514905149,0.3970149253731343,0.6260940726417893,334,69,46,1
0.12,0.8287841191066998,0.9970149253731343,0.9051490514905149,0.3970149253731343,0.5565297447534064,334,69,46,1
0.13,0.8370927318295739,0.9970149253731343,0.9100817438692098,0.4317975340687865,0.5565297447534064,334,65,50,1
0.14,0.8409090909090909,0.9940298507462687,0.9110807113543091,0.4462037637897469,0.5565537609313906,333,63,52,2
0.15,0.8451776649746193,0.9940298507462687,0.9135802469135802,0.4635950681375731,0.5565537609313906,333,61,54,2
0.16,0.8473282442748091,0.9940298507462687,0.9148351648351648,0.4722907203114861,0.4696031687136009,333,60,55,2
0.17,0.8494897959183674,0.9940298507462687,0.9160935350756534,0.4809863724853991,0.4696031687136009,333,59,56,2
0.18,0.8560411311053985,0.9940298507462687,0.919889502762431,0.5070733290071383,0.4696031687136009,333,56,59,2
0.19,0.8601036269430051,0.991044776119403,0.9209431345353676,0.5214795587280987,0.46965060355384886,332,54,61,3
0.2,0.8664921465968587,0.9880597014925373,0.9232914923291492,0.5445814406229721,0.4437293483950471,331,51,64,4
0.21,0.8726790450928382,0.982089552238806,0.9241573033707865,0.5646982478909799,0.42646322075527787,329,48,67,6
0.22,0.8820375335120644,0.982089552238806,0.9293785310734464,0.5994808565866321,0.3830276727961889,329,44,71,6
0.23,0.8840970350404312,0.9791044776119403,0.9291784702549575,0.6051914341336795,0.3831788575124256,328,43,72,7
0.24,0.8864864864864865,0.9791044776119403,0.9304964539007092,0.6138870863075925,0.36581466040472327,328,42,73,7
0.25,0.8861788617886179,0.9761194029850746,0.9289772727272727,0.6109020116807269,0.36581466040472327,327,42,73,8
0.26,0.8861788617886179,0.9761194029850746,0.9289772727272727,0.6109020116807269,0.36581466040472327,327,42,73,8
0.27,0.8861788617886179,0.9761194029850746,0.9289772727272727,0.6109020116807269,0.366204187884188,327,42,73,8
0.28,0.8858695652173914,0.9731343283582089,0.9274537695590327,0.6079169370538611,0.366204187884188,326,42,73,9
0.29,0.888283378746594,0.9731343283582089,0.9287749287749287,0.6166125892277741,0.366204187884188,326,41,74,9
0.3,0.888283378746594,0.9731343283582089,0.9287749287749287,0.6166125892277741,0.366204187884188,326,41,74,9
0.31,0.8931506849315068,0.9731343283582089,0.9314285714285714,0.6340038935756,0.33152512705739284,326,39,76,9
0.32,0.8956043956043956,0.9731343283582089,0.932761087267525,0.6426995457495133,0.33152512705739284,326,38,77,9
0.33,0.8950276243093923,0.9671641791044776,0.9296987087517934,0.6367293964957819,0.33206224821791885,324,38,77,11
0.34,0.8975069252077562,0.9671641791044776,0.9310344827586207,0.6454250486696949,0.33206224821791885,324,37,78,11
0.35000000000000003,0.9,0.9671641791044776,0.9323741007194245,0.6541207008436081,0.33206224821791885,324,36,79,11
0.36,0.9050279329608939,0.9671641791044776,0.935064935064935,0.6715120051914343,0.33206224821791885,324,34,81,11
0.37,0.9050279329608939,0.9671641791044776,0.935064935064935,0.6715120051914343,0.29746999692975984,324,34,81,11
0.38,0.9050279329608939,0.9671641791044776,0.935064935064935,0.6715120051914343,0.29746999692975984,324,34,81,11
0.39,0.9050279329608939,0.9671641791044776,0.935064935064935,0.6715120051914343,0.29746999692975984,324,34,81,11
0.4,0.9070422535211268,0.9611940298507463,0.9333333333333333,0.6742375081116159,0.2891836474018645,322,33,82,13
0.41000000000000003,0.9119318181818182,0.9582089552238806,0.9344978165938864,0.6886437378325763,0.28138159668796847,321,31,84,14
0.42,0.9119318181818182,0.9582089552238806,0.9344978165938864,0.6886437378325763,0.28138159668796847,321,31,84,14
0.43,0.9119318181818182,0.9582089552238806,0.9344978165938864,0.6886437378325763,0.2470387721381963,321,31,84,14
0.44,0.9195402298850575,0.9552238805970149,0.9370424597364568,0.7117456197274497,0.2470387721381963,320,28,87,15
0.45,0.9221902017291066,0.9552238805970149,0.9384164222873901,0.7204412719013629,0.24756123360667442,320,27,88,15
