threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.0,0.5911111111111111,1.0,0.7430167597765364,0.0,1.0,266,184,0,0
0.01,0.7123655913978495,0.9962406015037594,0.8307210031347962,0.41471886237332467,0.5815217391304348,265,107,77,1
0.02,0.7193460490463215,0.9924812030075187,0.8341232227488151,0.43269859431186664,0.570701704833529,264,103,81,2
0.03,0.7353760445682451,0.9924812030075187,0.8448,0.4761768551814318,0.570701704833529,264,95,89,2
0.04,0.7457627118644068,0.9924812030075187,0.8516129032258064,0.5033507682249101,0.4620177055974477,264,90,94,2
0.05,0.7564469914040115,0.9924812030075187,0.8585365853658536,0.5305246812683881,0.4620177055974477,264,85,99,2
0.06,0.7623188405797101,0.9887218045112782,0.8608837970540099,0.5430696305982348,0.4620941740281926,263,82,102,3
0.07,0.7690058479532164,0.9887218045112782,0.8651315789473685,0.5593739784243217,0.4023320196382399,263,79,105,3
0.08,0.7781065088757396,0.9887218045112782,0.8708609271523179,0.5811131088591042,0.4023320196382399,263,75,109,3
0.09,0.7867867867867868,0.9849624060150376,0.8747913188647746,0.5990928407976464,0.38616246657840164,262,71,113,4
0.1,0.7933130699088146,0.981203007518797,0.8773109243697479,0.6116377901274928,0.3700429391730376,261,68,116,5
0.11,0.796923076923077,0.9736842105263158,0.8764805414551607,0.6149885583524028,0.35940417591118234,259,66,118,7
0.12,0.796923076923077,0.9736842105263158,0.8764805414551607,0.6149885583524028,0.35965968868375014,259,66,118,7
0.13,0.8018575851393189,0.9736842105263158,0.8794567062818336,0.625858123569794,0.35965968868375014,259,64,120,7
0.14,0.8018575851393189,0.9736842105263158,0.8794567062818336,0.625858123569794,0.34340111541552826,259,64,120,7
0.15,0.8037383177570093,0.9699248120300752,0.879045996592845,0.6275335076822492,0.34340111541552826,258,63,121,8
0.16,0.8087774294670846,0.9699248120300752,0.882051282051282,0.6384030728996404,0.34370964813986815,258,61,123,8
0.17,0.8138801261829653,0.9699248120300752,0.8850771869639794,0.6492726381170317,0.3112391067679475,258,59,125,8
0.18,0.8210862619808307,0.9661654135338346,0.8877374784110535,0.6618175874468779,0.31162484479197095,257,56,128,9
0.19,0.8263665594855305,0.9661654135338346,0.8908145580589255,0.6726871526642695,0.295422187461201,257,54,130,9
0.2,0.8284789644012945,0.9624060150375939,0.8904347826086957,0.6743625367767243,0.29587632096600464,256,53,131,10
0.21,0.8366013071895425,0.9624060150375939,0.8951048951048951,0.6906668846028112,0.26894481474166987,256,50,134,10
0.22,0.8382838283828383,0.9548872180451128,0.8927943760984183,0.688582870219026,0.27009844273299083,254,49,135,12
0.23,0.8410596026490066,0.9548872180451128,0.8943661971830986,0.6940176528277213,0.27009844273299083,254,48,136,12
0.24,0.8438538205980066,0.9548872180451128,0.8959435626102292,0.6994524354364171,0.24334857290526418,254,47,137,12
0.25,0.8518518518518519,0.9511278195488722,0.8987566607460036,0.7119973847662635,0.24334857290526418,253,44,140,13
0.26,0.8547297297297297,0.9511278195488722,0.900355871886121,0.7174321673749591,0.24407346201782584,253,43,141,13
0.27,0.8542372881355932,0.9473684210526315,0.8983957219251337,0.7136727688787183,0.23875122589640907,252,43,141,14
0.28,0.8542372881355932,0.9473684210526315,0.8983957219251337,0.7136727688787183,0.23954903662399404,252,43,141,14
0.29,0.8571428571428571,0.9473684210526315,0.9,0.7191075514874141,0.23425009642935532,252,42,142,14
0.3,0.8556701030927835,0.9360902255639098,0.8940754039497307,0.7078293559986923,0.23425009642935532,249,42,142,17
0.31,0.8551724137931035,0.9323308270676691,0.8920863309352518,0.7040699575024516,0.2380801158014144,248,42,142,18
0.32,0.8581314878892734,0.9323308270676691,0.8936936936936937,0.7095047401111474,0.2380801158014144,248,41,143,18
0.33,0.8581314878892734,0.9323308270676691,0.8936936936936937,0.7095047401111474,0.23287460572956659,248,41,143,18
0.34,0.8606271777003485,0.9285714285714286,0.8933092224231465,0.7111801242236027,0.2339946705476044,247,40,144,19
0.35000000000000003,0.8666666666666667,0.9285714285714286,0.896551724137931,0.7220496894409938,0.21852521490616567,247,38,146,19
0.36,0.8652482269503546,0.9172932330827067,0.8905109489051095,0.7107714939522718,0.22246716168318154,244,38,146,22
0.37,0.8714285714285714,0.9172932330827067,0.8937728937728938,0.7216410591696634,0.21241511822563688,244,36,148,22
0.38,0.8709677419354839,0.9135338345864662,0.8917431192660551,0.7178816606734229,0.21241511822563688,243,36,148,23
0.39,0.8705035971223022,0.9097744360902256,0.8897058823529411,0.7141222621771821,0.2154539986626765,242,36,148,24
0.4,0.8736462093862816,0.9097744360902256,0.8913443830570903,0.7195570447858777,0.2105310151437744,242,35,149,24
0.41000000000000003,0.8759124087591241,0.9022556390977443,0.8888888888888888,0.717473030402092,0.20731084302281577,240,34,150,26
0.42,0.8754578754578755,0.8984962406015038,0.8868274582560297,0.7137136319058515,0.21082605543053332,239,34,150,27
0.43,0.8754578754578755,0.8984962406015038,0.8868274582560297,0.7137136319058515,0.21082605543053332,239,34,150,27
0.44,0.8819188191881919,0.8984962406015038,0.8901303538175046,0.724583197123243,0.2013672263897461,239,32,152,27
0.45,0.8814814814814815,0.8947368421052632,0.8880597014925373,0.7208237986270023,0.20525999243373103,238,32,152,28
0.46,0.8843283582089553,0.8909774436090225,0.8876404494382022,0.7224991827394573,0.20067596315368,237,31,153,29
0.47000000000000003,0.8834586466165414,0.8834586466165414,0.8834586466165414,0.7149803857469763,0.20485802750705537,235,31,153,31
0.48,0.8867924528301887,0.8834586466165414,0.8851224105461394,0.7204151683556719,0.20485802750705537,235,30,154,31
0.49,0.8867924528301887,0.8834586466165414,0.8851224105461394,0.7204151683556719,0.20041223229097277,235,30,154,31
0.5,0.8867924528301887,0.8834586466165414,0.8851224105461394,0.7204151683556719,0.20041223229097277,235,30,154,31
0.51,0.8863636363636364,0.8796992481203008,0.8830188679245283,0.7166557698594311,0.20041223229097277,234,30,154,32
0.52,0.8863636363636364,0.8796992481203008,0.8830188679245283,0.7166557698594311,0.20717387112589847,234,30,154,32
0.53,0.8918918918918919,0.868421052631579,0.88,0.7162471395881007,0.19873282789929758,231,28,156,35
0.54,0.8918918918918919,0.868421052631579,0.88,0.7162471395881007,0.20117136774786265,231,28,156,35
0.55,0.8953488372093024,0.868421052631579,0.8816793893129771,0.7216819221967965,0.19308013389558612,231,27,157,35
0.56,0.9019607843137255,0.8646616541353384,0.8829174664107485,0.7287920889179471,0.19566140798823495,230,25,159,36
0.5700000000000001,0.9019607843137255,0.8646616541353384,0.8829174664107485,0.7287920889179471,0.19566140798823495,230,25,159,36
0.58,0.9019607843137255,0.8646616541353384,0.8829174664107485,0.7287920889179471,0.1917733209123358,230,25,159,36
0.59,0.9019607843137255,0.8646616541353384,0.8829174664107485,0.7287920889179471,0.1917733209123358,230,25,159,36
0.6,0.9015748031496063,0.8609022556390977,0.8807692307692307,0.7250326904217064,0.1917733209123358,229,25,159,37
0.61,0.9015748031496063,0.8609022556390977,0.8807692307692307,0.7250326904217064,0.1917733209123358,229,25,159,37
0.62,0.9015748031496063,0.8609022556390977,0.8807692307692307,0.7250326904217064,0.19715146973245998,229,25,159,37
0.63,0.9011857707509882,0.8571428571428571,0.8786127167630058,0.7212732919254656,0.19715146973245998,228,25,159,38
0.64,0.9047619047619048,0.8571428571428571,0.8803088803088803,0.7267080745341614,0.19715146973245998,228,24,160,38
0.65,0.9083665338645418,0.8571428571428571,0.8820116054158608,0.7321428571428572,0.18982403237026163,228,23,161,38
0.66,0.908,0.8533834586466166,0.8798449612403101,0.7283834586466167,0.1926691729323308,227,23,161,39
0.67,0.9116465863453815,0.8533834586466166,0.8815533980582524,0.7338182412553123,0.1926691729323308,227,22,162,39
0.68,0.9112903225806451,0.849624060150376,0.8793774319066148,0.7300588427590715,0.1891884018862104,226,22,162,40
0.6900000000000001,0.9112903225806451,0.849624060150376,0.8793774319066148,0.7300588427590715,0.19211653883902766,226,22,162,40
0.7000000000000001,0.9149797570850202,0.849624060150376,0.8810916179337231,0.7354936253677673,0.18878209509729743,226,21,163,40
0.71,0.9139344262295082,0.8383458646616542,0.8745098039215686,0.7242154298790455,0.19788333839829853,223,21,163,43
0.72,0.9214876033057852,0.8383458646616542,0.8779527559055118,0.7350849950964369,0.19181988076149215,223,19,165,43
0.73,0.921161825726141,0.8345864661654135,0.8757396449704142,0.7313255966001961,0.19181988076149215,222,19,165,44
0.74,0.9208333333333333,0.8308270676691729,0.8735177865612648,0.7275661981039554,0.19181988076149215,221,19,165,45
0.75,0.9208333333333333,0.8308270676691729,0.8735177865612648,0.7275661981039554,0.19819759891778568,221,19,165,45
0.76,0.9246861924686193,0.8308270676691729,0.8752475247524752,0.7330009807126512,0.19542114604779995,221,18,166,45
0.77,0.9319148936170213,0.8233082706766918,0.874251497005988,0.7363517489375613,0.19938936864926837,219,16,168,47
0.78,0.9316239316239316,0.8195488721804511,0.872,0.7325923504413208,0.1969299466415128,218,16,168,48
0.79,0.9393939393939394,0.8157894736842105,0.8732394366197183,0.7397025171624714,0.20370310424367136,217,14,170,49
0.8,0.9473684210526315,0.8120300751879699,0.8744939271255061,0.746812683883622,0.19541449826992008,216,12,172,50
0.81,0.9469026548672567,0.8045112781954887,0.8699186991869918,0.739293886891141,0.20608044177288154,214,12,172,52
0.8200000000000001,0.9511111111111111,0.8045112781954887,0.8716904276985743,0.7447286694998365,0.20442553816785972,214,11,173,52
0.8300000000000001,0.9506726457399103,0.7969924812030075,0.8670756646216768,0.7372098725073553,0.20442553816785972,212,11,173,54
0.84,0.9502262443438914,0.7894736842105263,0.8624229979466119,0.7296910755148742,0.22609208635101077,210,11,173,56
0.85,0.9541284403669725,0.7819548872180451,0.859504132231405,0.7276070611310885,0.2247161707765454,208,10,174,58
0.86,0.9539170506912442,0.7781954887218046,0.8571428571428571,0.723847662634848,0.2247161707765454,207,10,174,59
0.87,0.9537037037037037,0.7744360902255639,0.8547717842323651,0.7200882641386075,0.2320188862853798,206,10,174,60
0.88,0.9579439252336449,0.7706766917293233,0.8541666666666666,0.7217636482510623,0.23080633270132814,205,9,175,61
0.89,0.9577464788732394,0.7669172932330827,0.8517745302713987,0.7180042497548218,0.23815968176015648,204,9,175,62
0.9,0.9620853080568721,0.7631578947368421,0.8511530398322851,0.7196796338672771,0.23710315763826245,203,8,176,63
0.91,0.9615384615384616,0.7518796992481203,0.8438818565400844,0.7084014383785551,0.2556046597023722,200,8,176,66
0.92,0.9705882352941176,0.7443609022556391,0.8425531914893617,0.7117522066034652,0.2584543567706611,198,6,178,68
0.93,0.9748743718592965,0.7293233082706767,0.8344086021505376,0.7021493952271984,0.2720373007431621,194,5,179,72
0.9400000000000001,0.9846938775510204,0.7255639097744361,0.8354978354978355,0.709259561948349,0.27116729744488943,193,3,181,73
0.9500000000000001,0.9845360824742269,0.7180451127819549,0.8304347826086956,0.701740764955868,0.27116729744488943,191,3,181,75
0.96,0.9841269841269841,0.6992481203007519,0.8175824175824176,0.682943772474665,0.3087015417292417,186,3,181,80
0.97,0.983957219251337,0.6917293233082706,0.8123620309050773,0.6754249754821837,0.3087015417292417,184,3,181,82
0.98,0.994475138121547,0.6766917293233082,0.8053691275167785,0.6712569467146126,0.3158362369199495,180,1,183,86
0.99,0.9941520467836257,0.6390977443609023,0.7780320366132724,0.6336629617522065,0.5902505850523276,170,1,183,96
1.0,1.0,0.011278195488721804,0.022304832713754646,0.011278195488721776,0.9887218045112782,3,0,184,263
