threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.0,0.3977777777777778,1.0,0.5691573926868044,0.0,1.0,179,271,0,0
0.01,0.4877384196185286,1.0,0.6556776556776557,0.3062730627306274,1.0,179,188,83,0
0.02,0.5249266862170088,1.0,0.6884615384615385,0.4022140221402215,1.0,179,162,109,0
0.03,0.5559006211180124,1.0,0.7145708582834331,0.4723247232472325,1.0,179,143,128,0
0.04,0.5774193548387097,1.0,0.7321063394683026,0.5166051660516606,1.0,179,131,140,0
0.05,0.5966666666666667,1.0,0.7473903966597077,0.5535055350553506,0.34686346863468637,179,121,150,0
0.06,0.613013698630137,1.0,0.7600849256900213,0.5830258302583027,0.34686346863468637,179,113,158,0
0.07,0.6193771626297578,1.0,0.7649572649572649,0.5940959409594095,0.34686346863468637,179,110,161,0
0.08,0.6370106761565836,1.0,0.7782608695652173,0.6236162361623616,0.34686346863468637,179,102,169,0
0.09,0.6462093862815884,1.0,0.7850877192982456,0.6383763837638377,0.34686346863468637,179,98,173,0
0.1,0.6544117647058824,0.994413407821229,0.7893569844789357,0.6475499391865427,0.34690845461801295,178,94,177,1
0.11,0.6592592592592592,0.994413407821229,0.7928730512249443,0.6549300129872808,0.34690845461801295,178,92,179,1
0.12,0.6617100371747212,0.994413407821229,0.7946428571428571,0.6586200498876496,0.3247713000025914,178,91,180,1
0.13,0.6704545454545454,0.9888268156424581,0.7990970654627539,0.6677936053103548,0.32491541567289317,177,87,184,2
0.14,0.6755725190839694,0.9888268156424581,0.8027210884353742,0.6751736791110927,0.32491541567289317,177,85,186,2
0.15,0.69140625,0.9888268156424581,0.8137931034482758,0.6973139005133069,0.2659174950752802,177,79,192,2
0.16,0.6996047430830039,0.9888268156424581,0.8194444444444444,0.708384011214414,0.2659174950752802,177,76,195,2
0.17,0.7125506072874493,0.9832402234636871,0.8262910798122066,0.721247603537488,0.26621075156343926,176,71,200,3
0.18,0.7154471544715447,0.9832402234636871,0.8282352941176471,0.7249376404378567,0.26621075156343926,176,70,201,3
0.19,0.7154471544715447,0.9832402234636871,0.8282352941176471,0.7249376404378567,0.24043723336300427,176,70,201,3
0.2,0.7272727272727273,0.9832402234636871,0.836104513064133,0.739697788039333,0.24043723336300427,176,66,205,3
0.21,0.7352941176470589,0.9776536312849162,0.8393285371702638,0.745181306561669,0.24089112327451817,175,63,208,4
0.22,0.7352941176470589,0.9776536312849162,0.8393285371702638,0.745181306561669,0.22987104083859886,175,63,208,4
0.23,0.7383966244725738,0.9776536312849162,0.8413461538461539,0.748871343462038,0.22987104083859886,175,62,209,4
0.24,0.7404255319148936,0.9720670391061452,0.8405797101449275,0.7469747881836359,0.22315732270800168,174,61,210,5
0.25,0.7445887445887446,0.9608938547486033,0.8390243902439024,0.7431816776268321,0.22482933743248215,172,59,212,7
0.26,0.7478260869565218,0.9608938547486033,0.8410757946210269,0.746871714527201,0.22482933743248215,172,58,213,7
0.27,0.7644444444444445,0.9608938547486033,0.8514851485148515,0.765321899029046,0.19221205741724456,172,53,218,7
0.28,0.7713004484304933,0.9608938547486033,0.8557213930348259,0.7727019728297841,0.19221205741724456,172,51,220,7
0.29,0.7727272727272727,0.9497206703910615,0.8521303258145363,0.7652188253726111,0.19479269854404468,170,50,221,9
0.3,0.783410138248848,0.9497206703910615,0.8585858585858586,0.7762889360737182,0.17703179044431513,170,47,224,9
0.31,0.786046511627907,0.9441340782122905,0.8578680203045685,0.7743923807953164,0.17869875505773983,169,46,225,10
0.32,0.7897196261682243,0.9441340782122905,0.8600508905852418,0.7780824176956853,0.17519747480346962,169,45,226,10
0.33,0.7887323943661971,0.9385474860335196,0.8571428571428571,0.7724958255169145,0.17519747480346962,168,45,226,11
0.34,0.7914691943127962,0.9329608938547486,0.8564102564102564,0.7705992702385123,0.17360215521732675,167,44,227,12
0.35000000000000003,0.7904761904761904,0.9273743016759777,0.8534704370179949,0.7650126780597415,0.17786452395110228,166,44,227,13
0.36,0.7932692307692307,0.9217877094972067,0.8527131782945736,0.7631161227813394,0.17450262028973332,165,43,228,14
0.37,0.7922705314009661,0.9162011173184358,0.8497409326424871,0.7575295306025687,0.1878529115415252,164,43,228,15
0.38,0.7970297029702971,0.8994413407821229,0.8451443569553806,0.7481498278669938,0.1816622300420366,161,41,230,18
0.39,0.795,0.888268156424581,0.8390501319261213,0.7369766435094518,0.1816622300420366,159,41,230,20
0.4,0.7989690721649485,0.8659217877094972,0.8310991957104558,0.7220103485951062,0.1929264075934467,155,39,232,24
0.41000000000000003,0.8020833333333334,0.8603351955307262,0.8301886792452831,0.7201137933167041,0.20054116763252272,154,38,233,25
0.42,0.806282722513089,0.8603351955307262,0.8324324324324325,0.7238038302170731,0.20054116763252272,154,37,234,25
0.43,0.806282722513089,0.8603351955307262,0.8324324324324325,0.7238038302170731,0.18529567472163755,154,37,234,25
0.44,0.8235294117647058,0.8603351955307262,0.8415300546448088,0.7385639778185491,0.18529567472163755,154,33,238,25
0.45,0.8260869565217391,0.8491620111731844,0.837465564738292,0.7310808303613763,0.1938564632309818,152,32,239,27
0.46,0.825136612021858,0.8435754189944135,0.8342541436464088,0.7254942381826055,0.19598932319053564,151,32,239,28
0.47000000000000003,0.8342541436464088,0.8435754189944135,0.8388888888888889,0.7328743119833434,0.19598932319053564,151,30,241,28
0.48,0.8342541436464088,0.8435754189944135,0.8388888888888889,0.7328743119833434,0.19163346429120803,151,30,241,28
0.49,0.8333333333333334,0.8379888268156425,0.8356545961002786,0.7272877198045724,0.19622017054841298,150,30,241,29
0.5,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.7309777567049414,0.19622017054841298,150,29,242,29
0.51,0.8426966292134831,0.8379888268156425,0.8403361344537815,0.7346677936053103,0.19215321007004396,150,28,243,29
0.52,0.8409090909090909,0.8268156424581006,0.8338028169014085,0.7234946092477683,0.19215321007004396,148,28,243,31
0.53,0.8457142857142858,0.8268156424581006,0.8361581920903954,0.7271846461481375,0.20166322818216267,148,27,244,31
0.54,0.8497109826589595,0.8212290502793296,0.8352272727272727,0.7252880908697354,0.2028884426389632,147,26,245,32
0.55,0.8546511627906976,0.8212290502793296,0.8376068376068376,0.7289781277701044,0.19950459374123536,147,25,246,32
