threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.0,0.2111111111111111,1.0,0.3486238532110092,0.0,1.0,95,355,0,0
0.01,0.35580524344569286,1.0,0.5248618784530387,0.5154929577464789,1.0,95,172,183,0
0.02,0.39915966386554624,1.0,0.5705705705705706,0.5971830985915494,1.0,95,143,212,0
0.03,0.42035398230088494,1.0,0.5919003115264797,0.6309859154929578,1.0,95,131,224,0
0.04,0.4439252336448598,1.0,0.6148867313915858,0.6647887323943662,1.0,95,119,236,0
0.05,0.45893719806763283,1.0,0.6291390728476821,0.6845070422535211,0.28169014084507044,95,112,243,0
0.06,0.475,1.0,0.6440677966101694,0.704225352112676,0.28169014084507044,95,105,250,0
0.07,0.4797979797979798,1.0,0.6484641638225256,0.7098591549295774,0.28169014084507044,95,103,252,0
0.08,0.48717948717948717,1.0,0.6551724137931034,0.7183098591549295,0.28169014084507044,95,100,255,0
0.09,0.4946808510638298,0.9789473684210527,0.657243816254417,0.7113417346182358,0.2712407802054996,93,95,260,2
0.1,0.510989010989011,0.9789473684210527,0.6714801444043321,0.72824314306894,0.2712407802054996,93,89,266,2
0.11,0.5166666666666667,0.9789473684210527,0.6763636363636364,0.7338769458858414,0.2712407802054996,93,87,268,2
0.12,0.5314285714285715,0.9789473684210527,0.6888888888888889,0.7479614529280949,0.20951111996370053,93,82,273,2
0.13,0.5375722543352601,0.9789473684210527,0.6940298507462687,0.7535952557449963,0.20951111996370053,93,80,275,2
0.14,0.5470588235294118,0.9789473684210527,0.7018867924528301,0.7620459599703484,0.20951111996370053,93,77,278,2
0.15,0.5568862275449101,0.9789473684210527,0.7099236641221374,0.7704966641957005,0.20951111996370053,93,74,281,2
0.16,0.558282208588957,0.9578947368421052,0.7054263565891473,0.7550778354336547,0.20714137366185634,91,72,283,4
0.17,0.5625,0.9473684210526315,0.7058823529411765,0.7501853224610824,0.20680929162514214,90,70,285,5
0.18,0.5660377358490566,0.9473684210526315,0.7086614173228346,0.7530022238695331,0.20680929162514214,90,69,286,5
0.19,0.5769230769230769,0.9473684210526315,0.7171314741035857,0.7614529280948852,0.18510492792555916,90,66,289,5
0.2,0.5933333333333334,0.9368421052631579,0.726530612244898,0.765011119347665,0.18836844456390087,89,61,294,6
0.21,0.6013513513513513,0.9368421052631579,0.7325102880658436,0.7706449221645664,0.18836844456390087,89,59,296,6
0.22,0.6054421768707483,0.9368421052631579,0.7355371900826446,0.7734618235730171,0.18836844456390087,89,58,297,6
0.23,0.6095890410958904,0.9368421052631579,0.7385892116182573,0.7762787249814678,0.162105360785209,89,57,298,6
0.24,0.6223776223776224,0.9368421052631579,0.7478991596638656,0.7847294292068199,0.162105360785209,89,54,301,6
0.25,0.624113475177305,0.9263157894736842,0.7457627118644068,0.7770200148257969,0.16648901227588317,88,53,302,7
0.26,0.6258992805755396,0.9157894736842105,0.7435897435897436,0.7693106004447738,0.17444520502889294,87,52,303,8
0.27,0.6277372262773723,0.9052631578947369,0.7413793103448276,0.7616011860637508,0.17208669734306759,86,51,304,9
0.28,0.625,0.8947368421052632,0.7359307359307359,0.7510748702742771,0.17208669734306759,85,51,304,10
0.29,0.625,0.8947368421052632,0.7359307359307359,0.7510748702742771,0.17809855294285604,85,51,304,10
0.3,0.6343283582089553,0.8947368421052632,0.74235807860262,0.7567086730911785,0.17809855294285604,85,49,306,10
0.31,0.6343283582089553,0.8947368421052632,0.74235807860262,0.7567086730911785,0.17809855294285604,85,49,306,10
0.32,0.648854961832061,0.8947368421052632,0.7522123893805309,0.7651593773165306,0.16476823977471722,85,46,309,10
0.33,0.648854961832061,0.8947368421052632,0.7522123893805309,0.7651593773165306,0.16476823977471722,85,46,309,10
0.34,0.6511627906976745,0.8842105263157894,0.75,0.7574499629355076,0.16476823977471722,84,45,310,11
0.35000000000000003,0.65625,0.8842105263157894,0.7533632286995515,0.7602668643439585,0.1716841362635258,84,44,311,11
0.36,0.6614173228346457,0.8842105263157894,0.7567567567567568,0.7630837657524092,0.1655428192019387,84,43,312,11
0.37,0.664,0.8736842105263158,0.7545454545454545,0.7553743513713864,0.1730690655305545,83,42,313,12
0.38,0.6747967479674797,0.8736842105263158,0.7614678899082569,0.7610081541882878,0.1730690655305545,83,40,315,12
0.39,0.680327868852459,0.8736842105263158,0.7649769585253456,0.7638250555967385,0.1730690655305545,83,39,316,12
0.4,0.6974789915966386,0.8736842105263158,0.7757009345794392,0.7722757598220906,0.16023723744155496,83,36,319,12
0.41000000000000003,0.7033898305084746,0.8736842105263158,0.7793427230046949,0.7750926612305413,0.16023723744155496,83,35,320,12
0.42,0.7008547008547008,0.8631578947368421,0.7735849056603774,0.7645663454410676,0.16023723744155496,82,35,320,13
0.43,0.7043478260869566,0.8526315789473684,0.7714285714285715,0.7568569310600446,0.17730692348604685,81,34,321,14
0.44,0.7168141592920354,0.8526315789473684,0.7788461538461539,0.762490733876946,0.17129776023119783,81,32,323,14
0.45,0.7207207207207207,0.8421052631578947,0.7766990291262136,0.754781319495923,0.1804334200172377,80,31,324,15
0.46,0.7383177570093458,0.8315789473684211,0.7821782178217822,0.7527057079318014,0.1884332538592047,79,28,327,16
0.47000000000000003,0.7383177570093458,0.8315789473684211,0.7821782178217822,0.7527057079318014,0.18597483396619935,79,28,327,16
0.48,0.7333333333333333,0.8105263157894737,0.77,0.7316530763528539,0.20523465815387176,77,28,327,18
0.49,0.7403846153846154,0.8105263157894737,0.7738693467336684,0.7344699777613046,0.20523465815387176,77,27,328,18
0.5,0.7403846153846154,0.8105263157894737,0.7738693467336684,0.7344699777613046,0.20213760282018903,77,27,328,18
0.51,0.7549019607843137,0.8105263157894737,0.7817258883248731,0.740103780578206,0.20213760282018903,77,25,330,18
0.52,0.7524752475247525,0.8,0.7755102040816326,0.7295774647887323,0.20213760282018903,76,25,330,19
0.53,0.7524752475247525,0.8,0.7755102040816326,0.7295774647887323,0.21203616074995843,76,25,330,19
0.54,0.76,0.8,0.7794871794871795,0.732394366197183,0.21203616074995843,76,24,331,19
0.55,0.7676767676767676,0.8,0.7835051546391752,0.7352112676056337,0.2085648716666227,76,23,332,19
